Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A860961,"13021 DESSAU
AUSTIN 78754
(30.399452, -97.641013)",Yes (come to the shelter),07/06/2022,Dog,Labrador Retriever Mix,Black/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860961
A861089,"3001 SCOFIELD
AUSTIN 78727",Yes (come to the shelter),07/07/2022,Cat,Domestic Shorthair,Blue Cream,Spayed Female,7 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861089
A861132,"EVELYN ROAD AUSTIN 78747
(30.133523, -97.757228)",Yes (come to the shelter),07/08/2022,Dog,Labrador Retriever Mix,Black/White,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861132
A861142,"10605 JONWOOD
AUSTIN 78753
(30.365889, -97.67052)",Yes (come to the shelter),07/08/2022,Dog,German Shepherd,Black/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861142
A861088,"10212 MENCHACA
AUSTIN 78748
(30.168928, -97.825755)",Yes (come to the shelter),07/07/2022,Dog,German Shepherd,Black/Tan,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861088
A861053,"AUSTIN 78702
(30.264271, -97.71608)",Yes (come to the shelter),07/07/2022,Dog,German Shepherd Mix,Black/Brown,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861053
A861056,"501 BASTROP HIGHWAY
AUSTIN 78741
(30.237941, -97.686882)",Yes (come to the shelter),07/07/2022,Dog,Siberian Husky,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A861056
A860879,"969 AUSTIN78617
(30.66865, -98.459733)",Yes (come to the shelter),07/05/2022,Dog,Pit Bull Mix,Blue Cream,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A860879
A861052,"1705 AIRPORT
COMMERCE AUSTIN 78741",Yes (come to the shelter),07/07/2022,Dog,German Shepherd,Black/Brown,Intact Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861052
A861145,"15215 ORA LN78660
(30.443409, -97.659571)",Yes (come to the shelter),07/08/2022,Dog,Pit Bull Mix,Brown/Black,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861145
A860980,"7920 SAN
FELIPE AUSTIN 78729",No (contact for more info),07/06/2022,Dog,German Shepherd Mix,Black/Tan,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860980
A860964,"DELANO
ROBINSON AUSTIN 78721",Yes (come to the shelter),07/06/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860964
A860965,"DELANO
ROBINSON AUSTIN 78721",Yes (come to the shelter),07/06/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860965
A861217,"3004 S 1ST ST
AUSTIN 78704
(30.235017, -97.764115)",Yes (come to the shelter),07/09/2022,Cat,Domestic Medium Hair,Tortie,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861217
A860966,"DELANO
ROBINSON AUSTIN 78721",Yes (come to the shelter),07/06/2022,Cat,Domestic Shorthair,Black/White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860966
A860967,"204 CRAIGMONT
AUSTIN 78745
(30.198853, -97.778451)",Yes (come to the shelter),07/06/2022,Cat,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,13 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A860967
A861181,"1500 FARO
AUSTIN 78741
(30.234717, -97.713723)",Yes (come to the shelter),07/08/2022,Dog,Cardigan Welsh Corgi/Bull Terrier,Red/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861181
A860968,"1700 HYDRO DRIVE
AUSTIN 78728
(30.429133, -97.677359)",Yes (come to the shelter),07/06/2022,Cat,Domestic Medium Hair,Blue Tabby,Intact Female,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860968
A860977,"9532 SPIRIT
OF AUSTIN AUSTIN 78719",Yes (come to the shelter),07/06/2022,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A860977
A861178,7627 NEZ PIERCE TRACE MANOR78653,No (contact for more info),07/08/2022,Cat,Domestic Shorthair,White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861178
A861215,"7201 LEVANDER LOOP
AUSTIN 78702
(30.251079, -97.691727)",Yes (come to the shelter),07/09/2022,Dog,Pit Bull Mix,Black/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A861215
A861129,"1525 GRAND AVE PKWY78660
(30.456726, -97.657439)",Yes (come to the shelter),07/08/2022,Dog,Pit Bull,Brown,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861129
A861216,"HOWARD
AUSTIN 78753",Yes (come to the shelter),07/09/2022,Dog,Labrador Retriever,Brown,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861216
A861133,"12403 MELLOW MEADOW
AUSTIN 78750
(30.456209, -97.796815)",Yes (come to the shelter),07/08/2022,Dog,German Shepherd Mix,Black/Tricolor,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861133
A861134,"12403 MELLOW MEADOW
AUSTIN 78750
(30.456209, -97.796815)",Yes (come to the shelter),07/08/2022,Dog,German Shepherd Mix,Black/Brown,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861134
A861130,"EAST 12TH STREET
AUSTIN 78702",Yes (come to the shelter),07/08/2022,Dog,Belgian Malinois,Brown/Black,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A861130
A860979,"2124 BURTON DR
AUSTIN 78741
(30.231695, -97.733358)",Yes (come to the shelter),07/06/2022,Dog,German Shepherd,Brown/Black,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A860979
A860989,"3300 OAK CREEK DR
AUSTIN 78727
(30.427214, -97.705378)",Yes (come to the shelter),07/06/2022,Dog,Siberian Husky,Cream/Black,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A860989
A860914,"1601 EAST ANDERSON LANE
AUSTIN 78745
(30.331232, -97.684107)",Yes (come to the shelter),07/05/2022,Dog,Pug Mix,Brown/Black,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A860914
A861151,"MOPAC
AUSTIN 78759",Yes (come to the shelter),07/08/2022,Dog,Siberian Husky,Black/White,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861151
A860873,"550 N SH
SVRD SB AUSTIN 78724",Yes (come to the shelter),07/05/2022,Cat,Domestic Shorthair,White/Black,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860873
A860874,"550 N SH
SVRD SB AUSTIN 78724",Yes (come to the shelter),07/05/2022,Cat,Domestic Shorthair,Calico/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860874
A860875,"550 N SH
SVRD SB AUSTIN 78724",Yes (come to the shelter),07/05/2022,Cat,Domestic Shorthair,Calico/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860875
A860876,"550 N SH
SVRD SB AUSTIN 78724",Yes (come to the shelter),07/05/2022,Cat,Domestic Shorthair,White/Calico,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A860876
A861176,7627 NEZ PIERCE TRACE MANOR78653,No (contact for more info),07/08/2022,Cat,Domestic Shorthair,Orange Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861176
A861177,7627 NEZ PIERCE TRACE MANOR78653,No (contact for more info),07/08/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A861177
A861218,"3402 CALEB DRIVE78725
(30.23163, -97.588343)",Yes (come to the shelter),07/09/2022,Cat,Domestic Shorthair,Orange,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861218
A861175,"8405 OLD BEE CAVES ROAD
AUSTIN 78735
(30.25128, -97.887026)",Yes (come to the shelter),07/08/2022,Dog,Pbgv,White/Tan,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A861175
A849511,"AUSTIN 78741
(30.227985, -97.716971)",Yes (come to the shelter),07/06/2022,Dog,German Shepherd Mix,Fawn,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A849511
